sample_rel,ch,fnum,block,mask,midi,freq
3109817,4,1367,1,15,49.018,138.73
3109994,5,1290,2,15,60.014,261.84
3110058,6,1290,1,15,48.014,130.92
3114924,4,1290,2,15,60.014,261.84
3115192,5,1290,2,15,60.014,261.84
3115256,6,1290,1,15,48.014,130.92
3120057,1,1290,0,15,36.014,65.46
3120091,2,1290,0,15,36.014,65.46
3120132,3,645,0,15,24.014,32.73
3120169,4,1290,1,15,48.014,130.92
3120391,5,1290,2,15,60.014,261.84
3120455,6,1290,2,15,60.014,261.84
3125307,4,1290,2,15,60.014,261.84
3125589,5,1290,2,15,60.014,261.84
3125653,6,1290,1,15,48.014,130.92
3130455,1,645,0,15,24.014,32.73
3130521,3,861,0,15,29.015,43.69
3130557,4,1149,2,15,58.01,233.22
3130787,5,1290,2,15,60.014,261.84
3130851,6,1290,2,15,60.014,261.84
3135652,2,1290,0,15,36.014,65.46
3135719,4,1024,2,15,56.016,207.85
3135986,5,1290,2,15,60.014,261.84
3136024,6,1290,2,15,60.014,261.84
3140846,1,1290,0,15,36.014,65.46
3140903,2,512,0,15,20.016,25.98
3140945,3,767,0,15,27.013,38.92
3141184,5,1290,2,15,60.014,261.84
3141248,6,1290,1,15,48.014,130.92
3146097,4,1290,1,15,48.014,130.92
3146382,5,1290,2,15,60.014,261.84
3146446,6,1290,2,15,60.014,261.84
3151248,1,645,0,15,24.014,32.73
3151308,2,1290,0,15,36.014,65.46
3151349,3,812,0,15,28.0,41.2
3151385,4,1290,2,15,60.014,261.84
3151581,5,1290,2,15,60.014,261.84
3151646,6,1290,1,15,48.014,130.92
3156503,4,1367,2,15,61.018,277.47
3156779,5,1290,2,15,60.014,261.84
3156860,6,1290,1,15,48.014,130.92
3161640,1,1290,0,15,36.014,65.46
3161673,2,1290,0,15,36.014,65.46
3161715,3,724,0,15,26.014,36.74
3161987,5,1290,2,15,60.014,261.84
3162026,6,1290,2,15,60.014,261.84
3166893,4,1722,1,15,53.015,174.76
3167176,5,1290,2,15,60.014,261.84
3167239,6,1290,2,15,60.014,261.84
3172042,1,645,0,15,24.014,32.73
3172075,2,1290,0,15,36.014,65.46
3172117,3,767,0,15,27.013,38.92
3172153,4,1534,2,15,63.013,311.36
3172374,5,1290,2,15,60.014,261.84
3172412,6,1290,2,15,60.014,261.84
3177296,4,1367,2,15,61.018,277.47
3177572,5,1290,2,15,60.014,261.84
3177636,6,1290,2,15,60.014,261.84
3182433,1,1290,0,15,36.014,65.46
3182491,2,512,0,15,20.016,25.98
3182532,3,683,0,15,25.005,34.66
3182771,5,1290,2,15,60.014,261.84
3182835,6,1290,1,15,48.014,130.92
3187683,4,1149,2,15,58.01,233.22
3187969,5,1290,2,15,60.014,261.84
3188033,6,1290,2,15,60.014,261.84
3190940,5,1290,2,15,60.014,261.84
3192835,1,645,0,15,24.014,32.73
3192894,2,1290,0,15,36.014,65.46
3192945,3,912,0,15,30.011,46.28
3192982,4,1367,1,15,49.018,138.73
3193168,5,1290,2,15,60.014,261.84
3193231,6,1290,2,15,60.014,261.84
3198100,4,1290,2,15,60.014,261.84
3198366,5,1290,2,15,60.014,261.84
3198430,6,1290,1,15,48.014,130.92
3203247,1,1290,2,15,60.014,261.84
3203311,2,1290,0,15,36.014,65.46
3203353,3,645,0,15,24.014,32.73
3203412,4,1290,0,15,36.014,65.46
3203564,5,1625,2,15,64.011,329.83
3203626,6,1290,2,15,60.014,261.84
3208444,1,1290,1,15,48.014,130.92
3208480,2,1290,0,15,36.014,65.46
3208762,5,1625,2,15,64.011,329.83
3208799,6,1290,2,15,60.014,261.84
3213633,1,1290,2,15,60.014,261.84
3213669,2,1722,0,15,41.015,87.38
3213710,3,861,0,15,29.015,43.69
3213773,4,645,0,15,24.014,32.73
3213961,5,1625,2,15,64.011,329.83
3213997,6,1290,2,15,60.014,261.84
3218802,1,1290,2,15,60.014,261.84
3218838,2,1722,0,15,41.015,87.38
3219159,5,1625,2,15,64.011,329.83
3219196,6,1290,2,15,60.014,261.84
3224026,1,1290,1,15,48.014,130.92
3224063,2,1534,0,15,39.013,77.84
3224104,3,767,0,15,27.013,38.92
3224163,4,1290,0,15,36.014,65.46
3224357,5,1625,2,15,64.011,329.83
3224394,6,1290,2,15,60.014,261.84
3229225,1,1290,2,15,60.014,261.84
3229261,2,1534,0,15,39.013,77.84
3229556,5,1625,2,15,64.011,329.83
3229592,6,1290,2,15,60.014,261.84
3234423,1,1290,1,15,48.014,130.92
3234459,2,1625,0,15,40.011,82.46
3234501,3,812,0,15,28.0,41.2
3234563,4,645,0,15,24.014,32.73
3234754,5,1625,2,15,64.011,329.83
3239621,1,1290,1,15,48.014,130.92
3239658,2,1625,0,15,40.011,82.46
3239952,5,1625,2,15,64.011,329.83
3239989,6,1290,2,15,60.014,261.84
3244794,1,1290,2,15,60.014,261.84
3244830,2,1448,0,15,38.014,73.48
3244871,3,724,0,15,26.014,36.74
3244931,4,1290,0,15,36.014,65.46
3245151,5,1625,2,15,64.011,329.83
3245187,6,1290,2,15,60.014,261.84
3250018,1,1290,1,15,48.014,130.92
3250054,2,1448,0,15,38.014,73.48
3250349,5,1625,2,15,64.011,329.83
3250395,6,1290,2,15,60.014,261.84
3255191,1,1290,2,15,60.014,261.84
3255227,2,1534,0,15,39.013,77.84
3255268,3,767,0,15,27.013,38.92
